iter	RMSE
0	15544.14764
1	15491.07471
2	15429.1479
3	15374.78496
4	15323.62215
5	15277.93351
6	15230.6829
7	15187.42715
8	15147.11288
9	15106.94021
10	15070.41727
11	15030.20203
12	14993.93374
13	14957.74471
14	14929.12955
15	14899.43354
16	14863.60333
17	14835.00469
18	14810.16426
19	14781.88928
20	14754.14582
21	14729.51493
22	14707.7239
23	14681.95342
24	14666.9009
25	14646.26202
26	14628.84301
27	14611.96937
28	14593.80889
29	14574.09395
30	14568.30542
31	14550.50147
32	14538.27688
33	14536.72083
34	14523.85189
35	14503.95902
36	14501.0368
37	14488.12766
38	14464.46113
39	14458.95619
40	14446.33318
41	14427.89624
42	14426.98449
43	14426.47673
44	14421.58036
45	14412.96462
46	14411.73024
47	14410.62215
48	14401.93958
49	14390.86037
50	14389.68519
51	14369.24514
52	14360.70995
53	14353.04768
54	14345.17954
55	14332.47084
56	14323.17837
57	14311.1946
58	14301.781
59	14293.05228
60	14286.18033
61	14285.01642
62	14276.36152
63	14273.66423
64	14272.31929
65	14268.65356
66	14258.07654
67	14257.32632
68	14255.50325
69	14254.16844
70	14247.18862
71	14243.66302
72	14238.84487
73	14229.16922
74	14227.88268
75	14225.27082
76	14223.98655
77	14216.89812
78	14216.34967
79	14207.73894
80	14206.62162
81	14197.96023
82	14190.74684
83	14187.3321
84	14187.07723
85	14186.17402
86	14183.61777
87	14183.06375
88	14182.46628
89	14178.41772
90	14177.89335
91	14177.27874
92	14176.10484
93	14174.96208
94	14172.75154
95	14171.73775
96	14169.17236
97	14163.84183
98	14162.85912
99	14161.96329
100	14161.02908
101	14158.6048
102	14157.59656
103	14154.64884
104	14151.85478
105	14143.61818
106	14135.26604
107	14132.26064
108	14131.07789
109	14125.68732
110	14119.1521
111	14111.76793
112	14111.41787
113	14110.49113
114	14109.74079
115	14109.21557
116	14100.2612
117	14097.49466
118	14096.62942
119	14094.0944
120	14093.27063
121	14092.31597
122	14091.43354
123	14085.95413
124	14084.95903
125	14079.72647
126	14079.26303
127	14073.66595
128	14073.18762
129	14067.24261
130	14066.19956
131	14063.25564
132	14057.92929
133	14056.74164
134	14055.3481
135	14050.57957
136	14048.08575
137	14040.50507
138	14039.47367
139	14038.56695
140	14022.68029
141	14019.00992
142	14014.28572
143	14009.45222
144	14008.27328
145	14001.30385
146	14000.23916
147	13999.51287
148	13998.28047
149	13997.86661
150	13988.36044
151	13985.41752
152	13984.48917
153	13978.89284
154	13970.82359
155	13962.78317
156	13962.06997
157	13955.95142
158	13953.04493
159	13946.9156
160	13946.35263
161	13938.51095
162	13937.9049
163	13932.16702
164	13928.91297
165	13920.36385
166	13917.26526
167	13916.3945
168	13915.226
169	13914.52127
170	13909.74789
171	13907.75758
172	13907.38366
173	13907.20691
174	13906.3688
175	13905.67129
176	13904.17516
177	13903.48757
178	13902.02135
179	13901.41013
180	13896.08741
181	13895.77537
182	13895.34049
183	13891.92433
184	13889.827
185	13886.26493
186	13885.41394
187	13867.50616
188	13863.31606
189	13862.13836
190	13861.95612
191	13855.72439
192	13855.04862
193	13852.65604
194	13851.24851
195	13850.31763
196	13849.07302
197	13841.87944
198	13840.51599
199	13839.2208
200	13838.28726
201	13836.7978
202	13831.27639
203	13830.96565
204	13830.45027
205	13828.58189
206	13827.54698
207	13826.47649
208	13822.97237
209	13821.16097
210	13819.39392
211	13818.05981
212	13817.13061
213	13813.79784
214	13812.8399
215	13797.63301
216	13797.32036
217	13797.20216
218	13796.36583
219	13795.56035
220	13794.37418
221	13793.24957
222	13788.68207
223	13787.19705
224	13771.87288
225	13769.77121
226	13768.67263
227	13767.94278
228	13767.55565
229	13767.24023
230	13766.53656
231	13766.49784
232	13766.03692
233	13760.55833
234	13758.89852
235	13756.57762
236	13754.3731
237	13752.9787
238	13747.05576
239	13741.9075
240	13733.16662
241	13732.60602
242	13732.46772
243	13730.3296
244	13725.84514
245	13725.81103
246	13707.93686
247	13703.79581
248	13701.96689
249	13700.97108
250	13696.2409
251	13695.16059
252	13690.89535
253	13685.39727
254	13674.70706
255	13666.75442
256	13664.08714
257	13656.08086
258	13652.98221
259	13645.93226
260	13644.35594
261	13640.93906
262	13639.17455
263	13638.86536
264	13638.76381
265	13636.9583
266	13633.30654
267	13628.97154
268	13621.10755
269	13619.75655
270	13619.52002
271	13619.43978
272	13611.14108
273	13608.84537
274	13608.49024
275	13605.9423
276	13605.24298
277	13604.57755
278	13603.49867
279	13595.93943
280	13592.84706
281	13591.81417
282	13590.79063
283	13587.85891
284	13586.2181
285	13585.73218
286	13585.65769
287	13585.12975
288	13584.81418
289	13581.38122
290	13580.40994
291	13576.11858
292	13574.58149
293	13572.79319
294	13572.30663
295	13572.22133
296	13572.06153
297	13568.15389
298	13567.55226
299	13566.62415
300	13565.83072
301	13558.51975
302	13555.36383
303	13553.74509
304	13535.74296
305	13535.14593
306	13532.97438
307	13524.22834
308	13515.97333
309	13513.47441
310	13511.98414
311	13511.08112
312	13510.85626
313	13510.35727
314	13507.00442
315	13499.40446
316	13498.693
317	13498.57959
318	13498.50776
319	13498.08689
320	13496.96224
321	13492.83976
322	13489.22473
323	13487.3975
324	13482.62783
325	13473.36412
326	13467.62787
327	13462.31225
328	13460.48758
329	13458.96299
330	13457.50757
331	13454.71033
332	13450.17814
333	13446.55328
334	13446.23177
335	13443.43398
336	13439.51667
337	13434.84773
338	13434.59978
339	13432.6525
340	13429.63359
341	13424.95913
342	13419.76931
343	13417.45341
344	13417.3624
345	13412.03082
346	13410.18727
347	13406.51452
348	13403.35432
349	13394.74149
350	13394.3459
351	13393.7652
352	13390.15333
353	13384.371
354	13384.21369
355	13381.92474
356	13376.63661
357	13376.4714
358	13376.34859
359	13375.91202
360	13375.66339
361	13375.10763
362	13374.96172
363	13374.5849
364	13373.26784
365	13371.90127
366	13371.35345
367	13370.00498
368	13369.75047
369	13369.42118
370	13368.92466
371	13368.83381
372	13366.79502
373	13363.92027
374	13363.86736
375	13363.80722
376	13363.32404
377	13359.37031
378	13350.97305
379	13350.38348
380	13348.78098
381	13346.31969
382	13344.91084
383	13343.27627
384	13337.48284
385	13336.05326
386	13335.65367
387	13333.3483
388	13330.77433
389	13328.8134
390	13325.19888
391	13319.63162
392	13318.01879
393	13316.61917
394	13316.53715
395	13316.36868
396	13310.72703
397	13302.66072
398	13301.90513
399	13300.97833
400	13299.58959
401	13296.80875
402	13294.85985
403	13293.437
404	13291.38411
405	13288.94537
406	13287.59279
407	13285.98293
408	13285.3004
409	13284.784
410	13281.65097
411	13278.80975
412	13277.49121
413	13274.03675
414	13271.55361
415	13260.85533
416	13256.54866
417	13249.89177
418	13246.87265
419	13245.97841
420	13245.82336
421	13245.53107
422	13239.67814
423	13235.09888
424	13234.72083
425	13230.56933
426	13230.31598
427	13229.19405
428	13226.85409
429	13225.32682
430	13224.72231
431	13222.47288
