iter	Passed	Remaining
0	1	1361
1	2	1460
2	4	1462
3	5	1333
4	6	1228
5	6	1159
6	7	1112
7	8	1077
8	9	1052
9	10	1028
10	11	1011
11	12	999
12	13	989
13	14	1029
14	15	1020
15	16	1007
16	17	993
17	18	984
18	18	974
19	19	966
20	20	959
21	21	950
22	22	943
23	23	939
24	24	966
25	25	960
26	26	954
27	27	947
28	28	940
29	28	934
30	29	926
31	30	923
32	31	918
33	32	917
34	33	921
35	34	919
36	35	914
37	35	910
38	36	905
39	37	900
40	38	899
41	39	896
42	40	894
43	40	890
44	42	896
45	43	894
46	43	891
47	44	889
48	45	886
49	46	883
50	47	879
51	48	877
52	48	874
53	49	871
54	50	872
55	51	875
56	52	875
57	53	874
58	54	871
59	55	868
60	56	867
61	57	865
62	58	866
63	59	864
64	60	866
65	61	870
66	62	870
67	63	868
68	64	867
69	65	864
70	66	863
71	66	862
72	67	859
73	68	858
74	69	857
75	70	861
76	71	859
77	72	857
78	73	860
79	74	860
80	75	861
81	77	866
82	78	868
83	79	871
84	81	872
85	82	876
86	83	875
87	84	874
88	86	888
89	87	889
90	89	892
91	90	892
92	91	889
93	92	888
94	93	893
95	94	892
96	96	894
97	97	896
98	98	897
99	99	897
100	101	899
101	103	907
102	104	907
103	105	908
104	106	906
105	107	904
106	109	909
107	111	921
108	112	919
109	113	918
110	114	917
111	115	915
112	116	916
113	119	927
114	120	928
115	122	933
116	123	933
117	124	933
118	126	938
119	127	937
120	129	941
121	130	940
122	132	941
123	133	945
124	135	948
125	137	952
126	138	953
127	140	956
128	141	957
129	143	959
130	144	958
131	145	958
132	147	961
133	152	986
134	154	990
135	156	991
136	158	997
137	159	998
138	161	1000
139	163	1001
140	164	1000
141	167	1011
142	170	1020
143	172	1026
144	175	1037
145	179	1052
146	182	1058
147	186	1071
148	189	1080
149	192	1093
150	194	1095
151	199	1110
152	202	1119
153	206	1132
154	208	1138
155	213	1152
156	215	1154
157	218	1163
158	220	1164
159	221	1165
160	224	1171
161	226	1173
162	229	1176
163	231	1179
164	233	1182
165	236	1189
166	239	1196
167	242	1199
168	245	1205
169	247	1210
170	250	1215
171	253	1219
172	256	1224
173	259	1232
174	262	1235
175	264	1240
176	267	1245
177	270	1250
178	273	1253
179	276	1260
180	279	1264
181	281	1266
182	285	1273
183	288	1277
184	290	1281
185	294	1290
186	297	1293
187	300	1297
188	303	1301
189	306	1304
190	308	1308
191	311	1312
192	314	1314
193	317	1318
194	320	1321
195	322	1323
196	325	1327
197	328	1331
198	331	1334
199	334	1339
200	337	1342
201	340	1344
202	344	1351
203	347	1354
204	350	1358
205	353	1362
206	356	1364
207	359	1367
208	362	1370
209	364	1372
210	368	1376
211	371	1379
212	374	1384
213	378	1388
214	380	1390
215	384	1394
216	388	1400
217	391	1403
218	393	1404
219	396	1406
220	399	1409
221	402	1410
222	405	1412
223	408	1414
224	410	1415
225	413	1415
226	415	1415
227	418	1416
